               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.016658,            0.016257,                   0,             0.97755,             0.94595,              0.9912,             0.80049,           0.0094904,            0.004741,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.015993,            0.015499,                   0,             0.96269,             0.97838,             0.99118,             0.79596,           0.0098697,           0.0046205,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.015028,            0.015031,                   0,             0.96772,             0.97838,             0.99137,             0.80319,           0.0093225,           0.0045475,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.014246,            0.014924,                   0,             0.97707,             0.95676,             0.99001,             0.80503,           0.0091891,           0.0044008,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.015277,            0.015755,                   0,             0.95128,             0.96216,             0.98756,             0.79833,           0.0089711,           0.0044709,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.017707,            0.016295,                   0,             0.96193,             0.95613,             0.98858,             0.80828,           0.0088285,           0.0044402,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.015441,            0.014316,                   0,             0.96256,             0.97278,             0.99138,             0.82161,           0.0086066,           0.0042888,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.014833,            0.015046,                   0,             0.97235,             0.95676,             0.99097,              0.8172,           0.0082683,           0.0042781,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.019995,            0.015503,                   0,             0.98198,             0.95135,             0.98797,             0.81951,           0.0082373,           0.0043821,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.017515,            0.015292,                   0,             0.96276,             0.97821,             0.98744,             0.81573,           0.0082686,           0.0043922,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.019077,            0.015182,                   0,             0.96295,             0.98346,             0.98944,             0.83236,           0.0081892,           0.0041044,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.013209,            0.015416,                   0,              0.9632,             0.99459,             0.99117,             0.82455,           0.0081386,           0.0041802,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.013106,            0.015079,                   0,             0.96825,             0.98919,             0.99044,             0.82464,            0.008185,            0.004281,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.017667,            0.015868,                   0,              0.9533,             0.99459,             0.98907,             0.83161,           0.0085621,            0.004245,                   0,            0.002476,            0.002476,            0.002476
                 154,              0.0163,            0.015306,                   0,             0.95336,             0.99436,             0.99112,             0.83616,            0.008411,           0.0040969,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.012992,            0.014221,                   0,             0.97838,             0.97829,             0.99109,             0.82436,           0.0083297,           0.0040565,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.013676,            0.014786,                   0,             0.96285,             0.98919,             0.98941,             0.83411,           0.0080584,           0.0039922,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.016147,            0.015617,                   0,             0.97849,             0.98377,             0.99023,             0.84026,           0.0080172,           0.0039788,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.014584,             0.01405,                   0,             0.97326,             0.98371,             0.99013,             0.83692,           0.0079456,           0.0039403,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.018113,            0.013982,                   0,             0.95833,             0.99456,             0.99168,             0.84466,           0.0079135,            0.003905,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.013274,            0.014239,                   0,             0.96808,             0.98375,             0.99152,             0.84459,           0.0075117,           0.0039698,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.014237,            0.014049,                   0,             0.96299,             0.98919,              0.9921,             0.85008,           0.0076652,           0.0039526,                   0,             0.00208,             0.00208,             0.00208
